Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,RushYds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,Tot
1,Ohio State,9,45.8,20.3,29.8,68.3,290.9,3.3,35.4,193.2,5.5,2.6,65.2,484.1,7.4,12.6,8.9,1.9,23.3,5.1,44.1,0.3,0.4,0.8
2,Michigan,9,42.2,18.3,26.6,69.0,215.7,1.6,44.2,250.0,5.7,3.2,70.8,465.7,6.6,9.4,14.3,1.0,24.8,4.4,36.1,0.2,0.3,0.6
3,Penn State,9,34.4,21.8,34.3,63.4,265.7,2.2,37.0,171.0,4.6,2.2,71.3,436.7,6.1,12.4,7.8,1.7,21.9,5.6,49.3,0.7,0.8,1.4
4,Maryland,9,31.4,23.1,33.7,68.6,260.7,1.9,35.2,164.8,4.7,2.1,68.9,425.4,6.2,12.1,7.2,0.9,20.2,8.0,73.6,0.3,0.7,1.0
5,Wisconsin,9,30.8,14.4,23.8,60.7,202.7,2.0,37.6,183.3,4.9,1.9,61.3,386.0,6.3,9.1,7.1,1.9,18.1,7.0,65.1,0.6,0.7,1.2
6,Minnesota,9,30.6,14.2,23.1,61.5,195.7,0.9,44.8,211.9,4.7,3.0,67.9,407.6,6.0,8.8,13.1,1.1,23.0,4.1,35.3,0.2,0.9,1.1
7,Purdue,9,29.4,28.8,44.4,64.8,298.0,2.0,32.9,125.6,3.8,1.6,77.3,423.6,5.5,13.1,8.4,2.7,24.2,5.6,55.9,0.7,1.2,1.9
8,Nebraska,9,25.6,18.1,30.1,60.1,243.9,1.3,36.3,143.2,3.9,1.9,66.4,387.1,5.8,10.0,8.2,1.8,20.0,5.9,47.2,0.6,1.4,2.0
9,Illinois,9,24.8,22.3,31.2,71.5,220.6,1.6,45.8,192.6,4.2,1.1,77.0,413.1,5.4,10.4,10.1,1.8,22.3,6.8,63.3,1.2,0.3,1.6
10,Michigan State,9,24.3,20.9,32.3,64.6,233.0,2.0,28.1,99.1,3.5,1.3,60.4,332.1,5.5,10.6,6.1,2.1,18.8,6.0,58.1,0.2,1.1,1.3
11,Indiana,9,23.3,25.0,45.4,55.0,250.3,1.4,29.8,78.7,2.6,1.1,75.2,329.0,4.4,11.4,5.7,3.1,20.2,5.3,50.4,0.6,1.3,1.9
12,Rutgers,9,19.8,13.9,26.8,51.9,156.0,0.9,36.0,134.9,3.7,1.1,62.8,290.9,4.6,6.8,7.6,0.9,15.2,7.8,63.1,0.3,1.4,1.8
13,Iowa,9,17.2,14.7,26.6,55.2,159.2,0.6,32.6,103.6,3.2,0.9,59.1,262.8,4.4,6.8,6.0,1.4,14.2,4.6,36.7,0.7,0.7,1.3
14,Northwestern,9,16.7,22.7,37.1,61.1,230.3,1.1,39.2,123.7,3.2,1.1,76.3,354.0,4.6,10.7,7.9,1.7,20.2,4.9,43.0,1.1,1.0,2.1
2,USC,9,41.0,23.3,36.0,64.8,313.7,3.1,32.9,182.2,5.5,2.0,68.9,495.9,7.2,13.1,10.3,2.2,25.7,6.7,61.7,0.1,0.1,0.2
3,UCLA,9,40.8,22.2,31.1,71.4,266.1,2.3,38.7,242.3,6.3,2.9,69.8,508.4,7.3,12.6,11.3,1.6,25.4,7.0,59.3,0.6,0.6,1.1
