Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,TO
1,Georgia,15,10.2,19.0,33.8,56.2,189.7,0.7,30.9,78.9,2.6,0.2,64.7,268.5,4.2,7.9,5.4,1.5,14.8,6.6,51.3,0.3,1.1,1.4
2,Clemson,13,14.8,20.0,35.0,57.1,208.8,0.8,33.7,97.5,2.9,0.5,68.7,306.3,4.5,9.8,5.8,1.6,17.2,8.7,68.4,0.5,0.9,1.4
3,Texas A&M,12,15.9,19.3,33.4,57.9,192.7,1.1,36.7,135.9,3.7,0.5,70.1,328.6,4.7,9.0,8.2,1.8,19.0,5.9,46.9,0.4,0.8,1.3
4,Wisconsin,13,16.2,14.8,26.8,55.5,174.3,0.7,30.5,65.4,2.1,0.8,57.2,239.7,4.2,7.5,4.2,1.4,13.0,4.6,40.5,0.6,1.2,1.8
5,Cincinnati,14,16.9,15.9,29.5,54.0,169.2,0.9,41.6,149.1,3.6,1.0,71.1,318.4,4.5,8.6,8.9,1.7,19.1,6.5,48.6,1.0,1.4,2.4
6,Minnesota,13,17.3,15.8,28.4,55.6,181.2,1.2,28.8,97.8,3.4,0.8,57.2,279.0,4.9,7.8,6.4,1.4,15.5,4.6,43.8,0.6,0.6,1.2
7,Penn State,13,17.3,20.2,33.7,59.8,199.8,0.8,40.1,153.2,3.8,0.9,73.8,353.0,4.8,9.3,9.5,2.2,20.9,5.5,43.8,0.5,1.1,1.6
8,Michigan,14,17.4,18.4,32.5,56.7,204.4,1.2,34.6,126.0,3.6,0.8,67.1,330.4,4.9,9.1,6.9,1.1,17.1,5.2,46.4,0.6,0.6,1.1
9,Oklahoma State,14,18.1,18.7,32.6,57.5,210.2,1.2,32.4,87.6,2.7,0.6,64.9,297.9,4.6,9.0,4.9,1.9,15.8,6.6,51.9,0.8,0.6,1.4
10,Baylor,14,18.3,19.0,31.6,60.0,227.5,0.9,35.2,120.5,3.4,1.1,66.9,348.0,5.2,10.1,7.1,2.1,19.3,5.1,44.8,0.6,1.4,1.9
11,Louisiana,14,18.5,15.7,29.6,53.1,192.0,1.2,37.1,148.9,4.0,1.1,66.7,340.9,5.1,8.9,7.7,1.6,18.2,5.7,48.1,0.9,0.7,1.6
12,Boise State,12,19.0,15.5,26.7,58.1,206.9,1.0,39.8,158.7,4.0,1.2,66.4,365.6,5.5,8.7,8.3,1.8,18.8,7.8,61.9,0.8,1.1,1.9
